,Produit,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
37,37 Produits photographiques ou cinématographiques,,,,28415.0,,,2341888.0,317303.0,201580.0,,289070.0,15752426.0,40850.0,747798.0,21878382.0,38605.0,384995.0,3198456.0,3282121.0,10811745.0,5776995.0,6448804.0,6929377.0,5815830.0,6545110.0,7140200.0,6352560.0,5631770.0,5850220.0,5460620.0
38,38 Produits divers des industries chimiques,10175519.0,24678999.0,2819344.0,583700.0,1327429.0,3937911.0,14535580.0,15738251.0,29758815.0,14094754.0,22190284.0,5557630.0,4762274.0,2635000.0,473430.0,1366811.0,2933274.0,1728085.0,1073722.0,2315072.0,6526685.0,877395.0,110099.0,915689.0,566070.0,142920.0,9925820.0,347600.0,100000.0,1981550.0
39,39 Matières plastiques et ouvrages en ces matières,75769755.0,43389148.0,49647121.0,46306798.0,64419994.0,53700681.0,31844977.0,40536310.0,23687800.0,23899110.0,23181003.0,40904203.0,38295305.0,32232962.0,35035927.0,31421046.0,37149178.0,39124262.0,40502196.0,41544482.0,21487546.0,27336892.0,17474448.0,13400361.0,13458020.0,23214510.0,16316280.0,9128750.0,10984370.0,44604970.0
40,40 Caoutchouc et ouvrages en caoutchouc,1905136.0,1879558.0,699649.0,1203876.0,2169292.0,3039926.0,6274564.0,6911571.0,4615423.0,5947474.0,4121104.0,3781163.0,2636717.0,1308034.0,11020479.0,3522207.0,1468237.0,4716681.0,1197570.0,2420076.0,4635669.0,1059647.0,131241.0,726851.0,357130.0,1837440.0,4670000.0,448546.0,196594.0,1723990.0
41,41 Peaux (autres que les pelleteries) et cuirs,34029.0,,,,,,,,54103.0,108071.0,65307.0,69822.0,23940.0,17000.0,12000.0,8500.0,150295.0,,,7118.0,942110.0,,,,,,,,,
42,"42 Ouvrages en cuir; articles de bourrellerie ou de sellerie; articles de voyage, sacs à main et contenants similaires; ouvrages en boyaux",3850459.0,2167688.0,2073070.0,6168175.0,6446457.0,6727801.0,7917221.0,7538851.0,5314550.0,8282590.0,2262459.0,1503671.0,2114756.0,1357375.0,3904786.0,2591704.0,2572861.0,1408632.0,776774.0,1626621.0,1584234.0,1695485.0,1420867.0,3395376.0,236640.0,242670.0,244680.0,23090.0,391350.0,125360.0
43,"44 Bois, charbon de bois et ouvrages en bois",22689594.0,13534801.0,28350877.0,26620619.0,21665457.0,26359029.0,17854904.0,18177039.0,19912958.0,26148791.0,9373757.0,9108871.0,6606451.0,7446615.0,14586525.0,19788754.0,9949896.0,14886660.0,6755674.0,5381111.0,3690246.0,7087972.0,17256836.0,12309208.0,9198845.0,8850850.0,2683852.0,3106171.0,7233870.0,866740.0
44,45 Liège et ouvrages en liège,66270.0,60500.0,170610.0,383940.0,18052.0,,,,,74807.0,,28837.0,82686.0,10140.0,41340.0,,331112.0,,2700.0,,,,,30681.0,,,78050.0,,,
45,46 Ouvrages de sparterie ou de vannerie,1262353.0,409775.0,700838.0,1658329.0,1079034.0,996440.0,1294392.0,2409739.0,1207210.0,665897.0,1082672.0,875390.0,187836.0,52700.0,1039313.0,138900.0,54540.0,660165.0,1579723.0,1484347.0,2899751.0,1561295.0,758523.0,995474.0,2278070.0,1114890.0,1376800.0,39100.0,803810.0,343040.0
46,47 Pâtes de bois ou d'autres matières cellulosiques; déchets et rébus de papier ou de carton,15100000.0,23200000.0,17900000.0,22300000.0,22800000.0,19700000.0,17206992.0,17402331.0,14400000.0,15370000.0,9200000.0,9300000.0,10200000.0,6400000.0,4000000.0,9298755.0,17291925.0,3292704.0,12232563.0,10816231.0,23966733.0,5708317.0,110000.0,,,,,,,
