,Provenance,2022,2022,2021,2021,2020,2020,2019,2019,2018,2018,2017,2017,2016,2016,2015,2015,2014,2014,2013,2013,2012,2012,2011,2011,2010,2010,2009,2009,2008,2008,2007,2007,2006,2006,2005,2005,2004,2004,2003,2003,2002,2002,2001,2001,2000,2000,1999,1999,1998,1998,1997,1997,1996,1996,1995,1995,1994,1994,1993,1993
,,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids
40,Dominique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56085100.0,7000.0,,,,,,,,,,,,,,,,,,,,,,,,
41,El Salvador,1605000.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Equateur,,,68077350.0,27130.0,,,,,5718812.0,34976.0,1683850.0,74.0,,,,,25059300.0,65315.0,5493.0,3.0,,,,,,,,,,,107024.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Grenade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13652000.0,14.0,,,,,,,,
44,Guadeloupe,3583479.0,16.267,7835617.0,1707.48,3099748.0,63.0,1056.0,9.0,418548185.0,306001.0,2629593.0,21.0,9873944.0,109.0,2189099.0,8.0,3235086.0,9.0,6302827.0,21.0,7933788.0,20.0,10881633.0,2143.0,15175523.0,2380.0,3288507.0,1633.0,2506241.0,463.0,4531670.0,2.0,7343092.0,1234.0,1783068.0,701.0,5348971.0,422.0,106200000.0,40000.0,77570011.0,27120.0,7556913.0,1363.0,1091520.0,5.0,10509543.0,899.0,7568420.0,3335.0,4296359.0,152.0,1597530.0,3.0,225043860.0,8927.0,598480.0,3.0,2484010.0,3097.0
45,Guatemala,,,,,,,,,,,,,,,,,,,,,238660.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Guyana,,,,,,,28300.0,8.5,134604.0,1.0,1341771.0,300.0,420886.0,20.0,,,,,,,,,,,,,,,,,,,823377.0,561.0,,,,,,,223147.0,15.0,,,148300.0,30.0,,,,,,,,,,,,,,
47,Guyane Française,,,,,843696.0,1952.0,6517822.0,2172.499999999999,548918.0,950.0,,,3226177.0,92.0,2163467.0,2715.0,429103.0,260.0,737609.0,2452.0,,,157924550.0,10575.0,,,2863920.0,2410.0,,,,,1749163.0,1887.0,4237925.0,4273.0,596650.0,26.0,,,181917.0,220.0,340000000.0,330000.0,545762.0,1715.0,1600000.0,2.0,,,,,300000.0,1.0,416490.0,136.0,,,,
48,Haïti,,,,,,,,,,,215000.0,3.0,,,,,23866.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,
50,Iles Cayman,,,,,300000.0,2.0,,,,,,,,,,,,,436800.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Iles Turks et Caïques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162446.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Iles Vierges Britanniques,,,,,,,,,,,,,,,353020.0,205.0,,,7293.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Iles Vierges des Etats-Unis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843400.0,64.0,,,,,,,1000000.0,1.0
54,Martinique,,,989148.0,280.00000000000006,4665105.0,1316.113,372312.0,329.0,4156025.0,1121.0,476266.0,13.0,,,12955538.0,10001.0,272488.0,100.0,2172417.0,1292.0,2736237.0,2945.0,2088783.0,1297.0,3952206.0,1838.0,1210440.0,951.0,4704137.0,1485.0,2033736.0,1.0,1602663.0,86.0,4290349.0,2982.0,696430.0,50.0,1915135.0,128.0,103693699.0,61305.0,5434764.0,51.0,2524999.0,11.0,37735599.0,14009.0,2321670.0,7.0,151714360.0,72502.0,1431500.0,4.0,2546350.0,1074.0,6639110.0,816.0,881440.0,117.0
55,Mexique,1546175.0,54.8,1040167.0,29.5,155904.0,1.0,398864.0,202.0,321695.0,136.0,271100.0,2.0,2071453.0,1081.0,62501.0,2.0,1270777.0,9.0,725000.0,5.0,,,,,245562.0,77.0,17329904.0,79.0,2623092.0,27.0,5897183.0,11.0,9778930.0,106.0,889306.0,116.0,454680.0,26.0,1291376.0,123.0,187186.0,8.0,136936.0,0.0,5778612.0,6067.0,1446507.0,152.0,1557650.0,56.0,55750.0,55.0,,,,,32270.0,7.0,,
56,Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218860.0,1.0,,,,,,,,,,,,
57,Panama,301068.0,64.34,,,5966500.0,3700.0,221177.0,57.0,,,252450.0,10.0,147232.0,11.0,274579.0,48.0,197776.0,7.0,276195.0,18.0,,,115000.0,1.0,459050.0,34.0,,,,,598291.0,50.0,,,,,,,301724.0,30.0,88641.0,4.0,,,,,,,,,,,,,,,,,,
58,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,1208216.0,2750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Pérou,,,366379.0,0.108,,,,,,,,,,,,,,,,,24033.0,1.0,,,,,8369385.0,17511.0,1764923.0,527.0,397460.0,150.0,,,,,,,,,29555.0,40.0,,,,,,,,,,,,,,,,,,
60,République Dominicaine,,,,,,,5296.0,27.0,,,,,,,,,729106.0,0.0,,,,,,,,,,,,,,,,,,,27757.0,0.0,,,,,,,,,,,,,,,,,,,,,,
61,Sainte-Lucie,,,,,,,,,,,,,,,,,,,24600.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
